,LineId,Date,Time,Pid,Tid,Level,Component,Content,template,EventId
0,1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false","printFreezingDisplayLogsopening app wtoken <*> AppWindowToken{9f4ef63 token= <*> ActivityRecord{de9231d <*> com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity <*> allDrawn= false,0 startingDisplayed <*> false,1 startingMoved <*> false,2 isRelaunching <*> false",Event0
1,2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227","<*> lock= <*> <*> <*> tag= ""View Lock"", name= <*> ws= null, uid= <*> pid= <*>",Event4
2,3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready= true,0 policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true,1 boostinprogress= false,0 waitmodeenable= false,1 mode= false,2 manual= <*> auto= <*> adj= 0.0userId= <*>",Event140
3,4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping <*> token= <*> <*> <*> <*> <*> -- going to hide,Event12
4,5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,visible is <*>,Event2
5,6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,Event3
6,7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,visible is <*>,Event2
7,8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,Event3
8,9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,visible is <*> gt <*>,Event1
9,10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,Event3
10,11,03-17,16:13:38.881,2227,2227,D,TextView,visible is system.message.count gt 0,visible is <*> gt <*>,Event1
11,12,03-17,16:13:38.882,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,Event3
12,13,03-17,16:13:38.887,2227,2227,D,TextView,visible is system.ownerinfo.show,visible is <*>,Event2
13,14,03-17,16:13:38.888,2227,2227,D,TextView,mVisiblity.getValue is false,mVisiblity.getValue is false,Event3
14,15,03-17,16:13:38.905,1702,10454,D,PowerManagerService,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227","<*> lock= <*> <*> <*> tag= ""View Lock"", name= <*> ws= null, uid= <*> pid= <*>",Event4
15,16,03-17,16:13:38.907,1702,10454,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0","ready= true,0 policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true,1 boostinprogress= false,0 waitmodeenable= false,1 mode= false,2 manual= <*> auto= <*> adj= 0.0userId= <*>",Event140
16,17,03-17,16:13:38.915,1702,3693,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,Skipping <*> token= <*> <*> <*> <*> <*> -- going to hide,Event12
17,18,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,"updateClipping isOverlap:false, getTopPadding=333.0, Translation=-24.0",updateClipping isOverlap: <*> getTopPadding= <*> Translation= <*>,Event154
18,19,03-17,16:13:38.928,2227,2227,I,StackScrollAlgorithm,updateDimmedActivatedHideSensitive overlap:false,updateDimmedActivatedHideSensitive overlap: false,Event155
19,20,03-17,16:13:38.935,1702,3697,W,ActivityManager,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,<*> caller <*> does not hold REAL_GET_TASKS; limiting output,Event145
