,template,template_id,members_num
0,"printFreezingDisplayLogsopening app wtoken <*> AppWindowToken{9f4ef63 token= <*> ActivityRecord{de9231d <*> com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity <*> allDrawn= false,0 startingDisplayed <*> false,1 startingMoved <*> false,2 isRelaunching <*> false",Event0,1
1,visible is <*> gt <*>,Event1,2
2,visible is <*>,Event2,3
3,mVisiblity.getValue is false,Event3,5
4,"<*> lock= <*> <*> <*> tag= ""View Lock"", name= <*> ws= null, uid= <*> pid= <*>",Event4,2
5,Destroying surface Surface( name= SurfaceView - com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity) called by com.android.server.wm.WindowStateAnimator.destroyDeferredSurfaceLocked: <*> com.android.server.wm.WindowManagerService.performDeferredDestroyWindow: <*> com.android.server.wm.Session.performDeferredDestroy: <*> android.view.IWindowSession$Stub.onTransact: <*> com.android.server.wm.Session.onTransact: <*> android.os.Binder.execTransact: <*> <bottom0 <*> call0 stack>0 <bottom1 <*> call1 stack>1,Event5,1
6,"orientation change is complete, call stopFreezingDisplayLocked",Event6,1
7,Screen frozen for <*> due to Window{ca98d5 <*> com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity},Event7,1
8,startAnimation begin,Event8,1
9,startAnimation end,Event9,1
10,Bad activity token: android.os.BinderProxy@2bd79ce,Event10,1
11,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,Event11,1
12,Skipping <*> token= <*> <*> <*> <*> <*> -- going to hide,Event12,4
13,schedulePeek,Event13,1
14,getRingtonePlayer...,Event14,2
15,onTrackingStarted,Event15,1
16,onTouchEvent: : <*> x= <*> y= <*>,Event16,2
17,onTrackingStopped: true,Event17,1
18,isSimPinSecure mSimDatas is null or empty,Event18,1
19,[PhoneIntfMgr] getDataEnabled: subId= <*> phoneId= <*>,Event19,1
20,[PhoneIntfMgr] getDataEnabled: subId= <*> retVal= true,Event20,1
21,onExpandingStarted,Event21,2
22,START <*> {act= com.tencent.mobileqq.action.MAINACTIVITY flg= <*> cmp= com.tencent.mobileqq/.activity.SplashActivity ( has extras) } from uid <*> on display <*>,Event22,1
