,template,template_id,members_num
0,ciod: cpu <*> at treeaddr <*> sent unrecognized message 0xffffffff,Event0,1
1,data TLB error interrupt,Event1,60
2,ciod: Message code <*> is not <*> or <*>,Event2,1
3,data storage interrupt,Event3,30
4,data address: <*>,Event4,8
5,machine check: i-fetch......................0,Event5,5
6,program interrupt: illegal instruction......0,Event6,5
7,program interrupt: trap instruction.........0,Event7,1
8,store operation.............................1,Event8,2
9,machine check enable..............0,Event9,2
10,debug interrupt enable............0,Event10,1
11,byte ordering exception.....................0,Event11,2
12,program interrupt: fp cr update.............0,Event12,1
13,guaranteed instruction cache block touch.0,Event13,2
14,guaranteed data cache block touch........1,Event14,1
15,program interrupt: fp cr field .............0,Event15,4
16,force load/store alignment...............0,Event16,2
17,icache prefetch depth....................0,Event17,1
18,icache prefetch threshold................0,Event18,2
19,machine state register: <*>,Event19,4
20,wait state enable.................0,Event20,1
21,critical input interrupt enable...0,Event21,1
22,"problem state <*> sup, <*> usr).......0",Event22,3
23,floating point instr. enabled.....1,Event23,4
24,special purpose registers:,Event24,1
25,<*> <*> <*> <*>,Event25,1
26,rts internal error,Event26,1
27,floating pt ex mode <*> enable......0,Event27,5
28,instruction address space.........0,Event28,1
29,data address space................0,Event29,5
30,core configuration register: <*>,Event30,7
31,disable store gathering..................0,Event31,3
32,ciod: failed <*> read message prefix on control stream (CioStream socket <*> <*>,Event32,3
33,program interrupt: unimplemented operation..0,Event33,2
34,program interrupt: imprecise exception......0,Event34,5
35,program interrupt,Event35,3
36,instruction address: <*>,Event36,21
37,exception syndrome register: <*>,Event37,6
38,program interrupt: illegal instruction......1,Event38,3
39,data store interrupt caused by <*>,Event39,10
40,auxiliary processor.........................0,Event40,5
41,ciod: Error creating node map from file0 <*> Bad file1 descriptor,Event41,1
42,Ido chip status changed: <*> ip= <*> v= <*> t= <*> status= M Fri Jul <*> <*> PDT <*>,Event42,1
43,ciod: duplicate canonical-rank <*> to logical-rank <*> mapping at line <*> of node map file /p/gb2/pakin1/sweep3d-5x5x400-10mk-3mmi-1024pes-sweep/sweep.map,Event43,1
44,ciod: Error creating node map from file <*> <*> <*> <*>,Event44,2
45,rts panic! - stopping execution,Event45,2
46,ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,Event46,1
47,ciod: Z coordinate <*> exceeds physical dimension <*> at line <*> of node map file /p/gb2/pakin1/contention-32768cpes-torus/xyzt-1x1x32768x1.map,Event47,1
48,"rts: kernel terminated for reason <*> bad message header: invalid cpu, type= <*> cpu= <*> index= <*> total= <*>",Event48,1
49,debug wait enable.................0,Event49,2
50,generating <*>,Event50,721
51,Node card status: ALERT0 <*> ALERT1 <*> ALERT2 <*> ALERT3 <*> <*> (are) active.0 Clock0 Mode <*> Low. Clock1 Select <*> Midplane. Phy JTAG0 Reset0 <*> asserted.0 ASIC JTAG1 Reset1 <*> not0 asserted.1 Temperature0 Mask <*> not1 active.1 No temperature error. Temperature1 Limit Error Latch <*> clear.0 PGOOD0 <*> asserted.2 PGOOD1 error0 latch0 <*> clear.1 MPGOOD0 <*> OK.0 MPGOOD1 error1 latch1 <*> clear.2 The0 <*> volt0 rail0 <*> OK.1 The1 <*> volt1 rail1 <*> OK.2,Event51,1
52,New ido chip inserted into the database: <*> ip= <*> v= <*> t= <*>,Event52,3
53,"PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), <*> <*> <*> mType(4)) as part of Service Action <*>",Event53,1
54,Ido chip status changed: <*> ip= <*> v= <*> t= <*> status= M <*> Aug <*> <*> PDT <*>,Event54,3
55,Can not get assembly information for node card,Event55,6
56,rts tree/torus link training failed: wanted: <*> <*> X+ <*> Y+ <*> <*> <*> got: <*> <*> <*> <*> <*> <*>,Event56,1
57,ciod: Missing or invalid fields on line <*> of node map file <*>,Event57,2
58,<*> double-hummer alignment exceptions,Event58,109
59,"NFS Mount failed on <*> slept <*> seconds, retrying <*>",Event59,2
60,ciod: In packet from node <*> <*> message code <*> is not <*> or <*> (softheader= <*> <*> <*> <*>,Event60,1
61,Lustre mount FAILED <*> <*> <*> point /p/gb1,Event61,9
62,Ido chip status changed: <*> ip= <*> v= <*> t= <*> status= M Sat Sep <*> <*> PDT <*>,Event62,1
63,Node card status: no ALERTs are active.0 Clock0 Mode <*> Low. Clock1 Select <*> Midplane. Phy JTAG0 Reset0 <*> asserted.0 ASIC JTAG1 Reset1 <*> asserted.1 Temperature0 Mask <*> not active.1 No temperature error. Temperature1 Limit Error Latch <*> clear. PGOOD0 <*> NOT0 ASSERTED. PGOOD1 ERROR0 LATCH0 <*> ACTIVE.0 MPGOOD0 <*> NOT1 OK.0 MPGOOD1 ERROR1 LATCH1 <*> ACTIVE.1 The0 <*> volt0 rail0 <*> OK.1 The1 <*> volt1 rail1 <*> OK.2,Event63,5
64,"idoproxydb hit ASSERT0 condition: ASSERT1 expression= <*> Source0 file= idotransportmgr.cpp Source1 line= <*> Function= int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",Event64,35
65,rts: bad message header: expecting type0 <*> instead of type1 <*> (softheader= <*> <*> <*> <*> PSR0= <*> PSR1= <*> PRXF= <*> PIXF= <*>,Event65,1
66,suppressing further interrupts of same type,Event66,2
67,ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to <*> Link has been severed,Event67,9
68,data cache search parity error detected. attempting to correct,Event68,6
69,shutdown complete,Event69,1
70,"ciod: Error loading <*> invalid or missing program image, Exec format error",Event70,17
71,total of <*> ddr error(s) detected and corrected,Event71,13
72,critical input interrupt (unit= <*> bit= <*> warning for torus <*> wire,Event72,2
73,<*> tree receiver <*> in re-synch state event(s) (dcr <*> detected,Event73,3
74,program interrupt: privileged instruction...0,Event74,5
75,<*> torus receiver <*> input pipe error(s) (dcr <*> detected and corrected,Event75,4
76,<*> <*> EDRAM error(s) (dcr <*> detected and corrected,Event76,1
77,iar <*> dear <*>,Event77,208
78,<*> floating point alignment exceptions,Event78,121
79,<*> ddr errors(s) detected and corrected on rank <*> symbol <*> bit <*>,Event79,18
80,rts: kernel terminated for reason <*>,Event80,6
81,"Error receiving packet on tree network, expecting type0 <*> instead of type1 <*> (softheader= <*> <*> <*> <*> PSR0= <*> PSR1= <*> PRXF= <*> PIXF= <*>",Event81,5
82,<*> torus sender z- retransmission error(s) (dcr <*> detected and corrected over <*> seconds,Event82,2
83,MACHINE CHECK DCR read timeout (mc= <*> iar <*> lr <*>,Event83,7
84,ciod: Error reading message prefix on CioStream socket to <*> Connection timed out,Event84,2
85,ciod: Error reading message prefix on CioStream socket to <*> Connection reset by peer,Event85,4
86,dbcr0= <*> dbsr= <*> ccr0= <*>,Event86,1
87,<*> <*> <*> <*> <*> <*> <*> <*>,Event87,1
88,Node card0 VPD0 check: <*> node in processor card1 slot <*> do not match. VPD1 ecid <*> found <*>,Event88,9
89,ciod: Received signal <*> code= <*> errno= <*> address= <*>,Event89,16
90,ciod: LOGIN <*> failed: No such file or directory,Event90,18
91,<*> microseconds0 spent in the0 rbs signal handler during <*> calls. <*> microseconds1 was the1 maximum time for <*> single instance of <*> correctable ddr.,Event91,51
92,"<*> total0 interrupts.0 <*> critical0 input0 interrupts.1 <*> microseconds0 total1 spent on critical1 input1 interrupts, <*> microseconds1 max time in a critical2 input2 interrupt.",Event92,71
93,"PrepareForService shutting down Node card(mLctn(R10-M1-N2), <*> <*> <*> mType(4)) as part of Service Action <*>",Event93,1
94,<*> tree receiver <*> in re-synch state event(s) (dcr <*> detected over <*> seconds,Event94,2
95,CE sym <*> at <*> mask <*>,Event95,92
96,minus normalized number..................0,Event96,1
97,Lustre mount FAILED <*> <*> <*> block_id <*> location,Event97,2
98,fraction rounded.........................0,Event98,1
99,Node card is not fully functional,Event99,7
100,size <*> scratchpad portion <*> L3.........0 (0M),Event100,1
101,Kernel detected <*> integer alignment exceptions <*> iar0 <*> dear0 <*> <*> iar1 <*> dear1 <*> <*> iar2 <*> dear2 <*> <*> iar3 <*> dear3 <*> <*> iar4 <*> dear4 <*> <*> iar5 <*> dear5 <*> <*> iar6 <*> dear6 <*> <*> iar7 <*> dear7 <*>,Event101,9
102,"ciod: Error loading <*> invalid <*> missing program image, No such file <*> directory",Event102,21
103,ciod: LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed: Input/output error,Event103,1
104,"ciod: Error loading <*> invalid or missing program image, Permission denied",Event104,19
105,"critical input interrupt (unit= <*> bit= <*> warning for <*> <*> wire, suppressing further interrupts of same type",Event105,3
106,<*> ddr error(s) detected and corrected on rank <*> symbol <*> over <*> seconds,Event106,7
107,ciod: Error reading message prefix on CioStream socket to <*> Link has been severed,Event107,8
108,<*> <*> EDRAM error(s) (dcr <*> detected and corrected over <*> seconds,Event108,1
109,total of <*> ddr error(s) detected and corrected over <*> seconds,Event109,4
110,ciod: pollControlDescriptors: Detected the debugger died.,Event110,3
111,"ciod: Error loading /g/g24/buber/Yunsic/BlueGene/partad.develf/taddriver.32.exe: program image too big, <*> > <*>",Event111,1
112,<*> 0xffffffff ffffffff0 ffffffff1 ffffffff2,Event112,1
113,Machine State Register: <*>,Event113,1
114,instruction cache parity error corrected,Event114,42
115,ciod: generated <*> core files for program <*>,Event115,30
