,LineId,Date,Time,Level,Process,Component,Content,template,EventId
0,1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,Created MRAppMaster for application <*>,Event0
1,2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,Executing with tokens: ,Event1
2,3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId <*> application_id <*> id: <*> cluster_timestamp: <*> <*> attemptId: <*> <*> keyId: <*>",Event2
3,4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,Using mapred newApiCommitter.,Event3
4,5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,OutputCommitter set in config null,Event4
5,6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,Event5
6,7,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Registering class0 org.apache.hadoop.mapreduce.jobhistory.EventType for class1 org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Event6
7,8,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,Registering class0 org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,Event7
8,9,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Registering class0 org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Event8
9,10,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,Registering class0 org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,Event9
10,11,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Registering class0 org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class1 org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Event10
11,12,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,Registering class0 org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,Event11
12,13,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,Registering class0 org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,Event12
13,14,2015-10-18,"18:01:50,588",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,Registering class0 org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,Event13
14,15,2015-10-18,"18:01:50,634",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs: //msra-sa-41: <*>,Event14
15,16,2015-10-18,"18:01:50,666",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs: //msra-sa-41: <*>,Event14
16,17,2015-10-18,"18:01:50,713",INFO,main,org.apache.hadoop.mapreduce.v2.jobhistory.JobHistoryUtils,Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs: //msra-sa-41: <*>,Event14
17,18,2015-10-18,"18:01:50,728",INFO,main,org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Emitting job history data to the timeline server is not enabled,Emitting job history data to the timeline server is not enabled,Event15
18,19,2015-10-18,"18:01:50,806",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,Registering class0 org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,Event16
