,template,template_id,members_num
0,Created MRAppMaster for application <*>,Event0,1
1,Executing with tokens: ,Event1,1
2,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId <*> application_id <*> id: <*> cluster_timestamp: <*> <*> attemptId: <*> <*> keyId: <*>",Event2,1
3,Using mapred newApiCommitter.,Event3,1
4,OutputCommitter set in config null,Event4,1
5,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,Event5,1
6,Registering class0 org.apache.hadoop.mapreduce.jobhistory.EventType for class1 org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Event6,1
7,Registering class0 org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,Event7,1
8,Registering class0 org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Event8,1
9,Registering class0 org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,Event9,1
10,Registering class0 org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class1 org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Event10,1
11,Registering class0 org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,Event11,1
12,Registering class0 org.apache.hadoop.mapreduce.v2.app.rm.ContainerAllocator$EventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerAllocatorRouter,Event12,1
13,Registering class0 org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncher$EventType for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$ContainerLauncherRouter,Event13,1
14,Default file system [hdfs: //msra-sa-41: <*>,Event14,3
15,Emitting job history data to the timeline server is not enabled,Event15,1
16,Registering class0 org.apache.hadoop.mapreduce.v2.app.job.event.JobFinishEvent$Type for class1 org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobFinishEventHandler,Event16,1
17,loaded properties from hadoop-metrics2.properties,Event17,1
18,Scheduled snapshot period at <*> second(s).,Event18,1
19,MRAppMaster metrics system started,Event19,1
20,Adding job token for <*> to jobTokenSecretManager,Event20,1
21,Not uberizing <*> because: not enabled; too0 many maps; too1 much input;,Event21,1
22,Input size for job <*> <*> <*> Number of splits <*> <*>,Event22,1
23,Number of reduces for job <*> = <*>,Event23,1
24,<*> Transitioned from NEW to INITED,Event24,1
25,"MRAppMaster launching normal, non-uberized, multi-container job <*>",Event25,1
26,Adding protocol org.apache.hadoop.mapreduce.v2.api.MRClientProtocolPB to the server,Event26,1
27,Instantiated MRClientService at MININT-FNANLI5.fareast.corp.microsoft.com/10.86.169.121: <*>,Event27,1
28,Logging to org.slf4j.impl.Log4jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf4jLog,Event28,1
29,Http request log for http.requests.mapreduce is not defined,Event29,1
30,Added global filter 'safety' (class= org.apache.hadoop.http.HttpServer2$QuotingInputFilter),Event30,1
31,Added filter AM_PROXY_FILTER (class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce,Event31,1
32,Added filter AM_PROXY_FILTER (class= org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static,Event32,1
33,adding path spec: /mapreduce/*,Event33,1
34,adding path spec: /ws/*,Event34,1
35,Jetty bound to port <*>,Event35,1
36,<*>,Event36,1
