,LineId,Time,Component,Pid,Content,template,EventId
0,1,20171223-22:15:29:606,Step_LSC,30002312,onStandStepChanged 3579,onStandStepChanged <*>,Event56
1,2,20171223-22:15:29:615,Step_LSC,30002312,onExtend:1514038530000 14 0 4,onExtend: <*> <*> <*> <*>,Event57
2,3,20171223-22:15:29:633,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_ON,onReceive action: android.intent.action.SCREEN_ON,Event34
3,4,20171223-22:15:29:635,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.SCREEN_ON,processHandleBroadcastAction action: android.intent.action.SCREEN_ON,Event35
4,5,20171223-22:15:29:635,Step_StandStepCounter,30002312,flush sensor data,flush sensor data,Event36
5,6,20171223-22:15:29:635,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404, getTodayTotalDetailSteps = <*>,Event58
6,7,20171223-22:15:29:636,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,setTodayTotalDetailSteps= <*>,Event59
7,8,20171223-22:15:29:636,Step_LSC,30002312,onStandStepChanged 3579,onStandStepChanged <*>,Event56
8,9,20171223-22:15:29:645,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126775,calculateCaloriesWithCache totalCalories= <*>,Event60
9,10,20171223-22:15:29:648,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
10,11,20171223-22:15:29:649,Step_StandReportReceiver,30002312,REPORT : 7007 5002 150089 240,REPORT : <*> <*> <*> <*>,Event51
11,12,20171223-22:15:29:737,Step_LSC,30002312,onExtend:1514038530000 0 0 4,onExtend: <*> <*> <*> <*>,Event57
12,13,20171223-22:15:29:738,Step_LSC,30002312,onStandStepChanged 3579,onStandStepChanged <*>,Event56
13,14,20171223-22:15:29:792,Step_LSC,30002312,onStandStepChanged 3580,onStandStepChanged <*>,Event56
14,15,20171223-22:15:29:800,Step_LSC,30002312,onExtend:1514038530000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
15,16,20171223-22:15:29:950,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954, getTodayTotalDetailSteps = <*>,Event58
16,17,20171223-22:15:29:950,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,setTodayTotalDetailSteps= <*>,Event59
17,18,20171223-22:15:29:959,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126797,calculateCaloriesWithCache totalCalories= <*>,Event60
18,19,20171223-22:15:29:962,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
19,20,20171223-22:15:29:962,Step_StandReportReceiver,30002312,REPORT : 7008 5003 150111 240,REPORT : <*> <*> <*> <*>,Event51
20,21,20171223-22:15:30:331,Step_LSC,30002312,onStandStepChanged 3581,onStandStepChanged <*>,Event56
21,22,20171223-22:15:30:335,Step_LSC,30002312,onExtend:1514038531000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
22,23,20171223-22:15:30:632,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269, getTodayTotalDetailSteps = <*>,Event58
23,24,20171223-22:15:30:632,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,setTodayTotalDetailSteps= <*>,Event59
24,25,20171223-22:15:30:639,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126818,calculateCaloriesWithCache totalCalories= <*>,Event60
25,26,20171223-22:15:30:641,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
26,27,20171223-22:15:30:642,Step_StandReportReceiver,30002312,REPORT : 7009 5004 150132 240,REPORT : <*> <*> <*> <*>,Event51
27,28,20171223-22:15:30:841,Step_LSC,30002312,onStandStepChanged 3583,onStandStepChanged <*>,Event56
28,29,20171223-22:15:30:858,Step_LSC,30002312,onExtend:1514038531000 2 0 4,onExtend: <*> <*> <*> <*>,Event57
29,30,20171223-22:15:31:142,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7009##548365##8661##12551##27174951, getTodayTotalDetailSteps = <*>,Event58
30,31,20171223-22:15:31:143,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7011##548365##8661##12646##27175461,setTodayTotalDetailSteps= <*>,Event59
31,32,20171223-22:15:31:157,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126861,calculateCaloriesWithCache totalCalories= <*>,Event60
32,33,20171223-22:15:31:160,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
33,34,20171223-22:15:31:160,Step_StandReportReceiver,30002312,REPORT : 7011 5005 150175 240,REPORT : <*> <*> <*> <*>,Event51
34,35,20171223-22:15:31:841,Step_LSC,30002312,onStandStepChanged 3584,onStandStepChanged <*>,Event56
35,36,20171223-22:15:31:862,Step_LSC,30002312,onExtend:1514038532000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
36,37,20171223-22:15:32:145,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7011##548365##8661##12646##27175461, getTodayTotalDetailSteps = <*>,Event58
37,38,20171223-22:15:32:147,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7012##548365##8661##12741##27176464,setTodayTotalDetailSteps= <*>,Event59
38,39,20171223-22:15:32:156,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=126882,calculateCaloriesWithCache totalCalories= <*>,Event60
39,40,20171223-22:15:32:162,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,calculateAltitudeWithCache totalAltitude= <*>,Event61
40,41,20171223-22:15:32:163,Step_StandReportReceiver,30002312,REPORT : 7012 5006 150197 240,REPORT : <*> <*> <*> <*>,Event51
41,42,20171223-22:15:32:340,Step_LSC,30002312,onStandStepChanged 3585,onStandStepChanged <*>,Event56
42,43,20171223-22:15:32:354,Step_LSC,30002312,onExtend:1514038533000 1 0 4,onExtend: <*> <*> <*> <*>,Event57
43,44,20171223-22:15:32:647,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7012##548365##8661##12741##27176464, getTodayTotalDetailSteps = <*>,Event58
