,template,template_id,members_num
0,User unknown timed out after <*> seconds at Sat Jun <*> <*> <*>,Event0,1
1,Received SNMP packet(s) from <*>,Event1,1
2,Authentication failed from <*> <*> Permission denied in replay cache code,Event2,8
3,Authentication failed from <*> <*> Software caused connection abort,Event3,15
4,Kerberos authentication failed,Event4,23
5,*** info [mice.c(1766)]:,Event5,1
6,imps2: Auto-detected intellimouse PS/2,Event6,1
7,ROOT LOGIN ON tty2,Event7,1
8,<*> device node <*>,Event8,8
9,authentication failure; logname= uid= <*> euid= <*> tty= <*> ruser= rhost= ,Event9,1
10,Couldn't authenticate user,Event10,1
11,check pass; user unknown,Event11,117
12,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,Event12,117
13,ANONYMOUS FTP LOGIN FROM <*> (anonymous),Event13,2
14,notify question section contains no SOA,Event14,16
15,warning: can't get client address: Connection reset by peer,Event15,2
16,getpeername (ftpd): Transport endpoint is not connected,Event16,4
17,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= <*>,Event17,372
18,ALERT exited abnormally with <*>,Event18,44
19,session opened for user <*> by <*> <*>,Event19,123
20,connection from <*> <*> at <*> <*> <*> <*> <*>,Event20,909
21,restart.,Event21,7
22,klogd <*> log source = /proc/kmsg started.,Event22,1
23,Linux0 version0 <*> (bhcompile@bugs.build.redhat.com) (gcc version1 <*> <*> (Red Hat Linux1 <*> <*> Sat May <*> <*> EDT <*>,Event23,1
24,BIOS-provided physical RAM map:,Event24,1
25,<*> <*> - <*> <*>,Event25,5
26,<*> HIGHMEM available.,Event26,1
27,<*> LOWMEM available.,Event27,1
28,zapping low mappings.,Event28,1
29,On node <*> totalpages: <*>,Event29,1
30,"<*> zone: <*> pages, LIFO <*>",Event30,3
31,DMI <*> present.,Event31,1
32,ACPI disabled because your bios is from <*> and too old,Event32,1
33,You can enable it with acpi= force,Event33,1
34,Built <*> zonelists,Event34,1
35,Kernel command line: ro root= LABEL= / rhgb quiet,Event35,1
36,mapped <*> trampoline to <*>,Event36,1
37,Initializing CPU#0,Event37,1
38,"CPU <*> irqstacks, hard= <*> soft= <*>",Event38,1
39,Detected <*> MHz processor.,Event39,1
40,Version <*> Starting,Event40,1
41,Console: colour VGA+ <*>,Event41,1
42,"Memory: <*> available <*> kernel code, <*> reserved, <*> data, <*> init, <*> highmem)",Event42,1
43,Calibrating delay loop... <*> BogoMIPS,Event43,1
44,Security Scaffold <*> initialized,Event44,1
45,SELinux: Initializing.,Event45,1
46,SELinux: Starting in permissive mode,Event46,1
47,"There is already a security framework initialized, register_security failed.",Event47,1
48,selinux_register_security: Registering secondary module capability,Event48,1
49,Capability LSM initialized,Event49,1
50,Dentry cache hash table entries: <*> (order: <*> <*> bytes),Event50,1
51,CPU: <*> I cache:0 <*> <*> D cache:1 <*>,Event51,1
52,CPU: <*> cache: <*>,Event52,1
53,Intel machine check architecture supported.,Event53,1
54,Intel machine check reporting enabled on CPU#0.,Event54,1
55,CPU: Intel Pentium III (Coppermine) stepping <*>,Event55,1
56,Enabling fast FPU save and restore... done.,Event56,1
57,Enabling unmasked SIMD FPU exception support... done.,Event57,1
58,Checking 'hlt' instruction... OK.,Event58,1
59,POSIX conformance testing by UNIFIX,Event59,1
60,NET: Registered protocol family <*>,Event60,1
61,"PCI: PCI BIOS revision <*> entry at 0xfc0ce, last bus= <*>",Event61,1
62,PCI: Using configuration type <*>,Event62,1
63,mtrr: <*> <*>,Event63,1
64,ACPI: Subsystem revision <*>,Event64,1
65,ACPI: Interpreter disabled.,Event65,1
66,Linux Plug and Play Support <*> (c) Adam Belay,Event66,1
67,<*> <*> succeeded,Event67,7
68,usbcore: registered new driver <*>,Event68,2
69,ACPI: ACPI tables contain no PCI IRQ routing entries,Event69,1
70,PCI: Invalid ACPI-PCI IRQ routing table,Event70,1
71,PCI: Probing PCI hardware,Event71,1
72,PCI: Probing PCI hardware (bus <*>,Event72,1
73,Transparent bridge - <*>,Event73,1
74,PCI: Using IRQ router PIIX/ICH <*> at <*>,Event74,1
75,apm: BIOS version0 <*> Flags <*> (Driver version1 <*>,Event75,1
76,audit: initializing netlink socket (disabled),Event76,1
77,kernel.core_uses_pid = <*>,Event77,1
78,HCI daemon ver <*> started,Event78,1
79,<*> initialized,Event79,1
80,Setting network parameters: succeeded,Event80,1
81,<*> startup succeeded,Event81,14
82,sdpd <*> started,Event82,1
83,"Total HugeTLB memory allocated, <*>",Event83,1
84,<*> <*> <*> <*> succeeded,Event84,2
85,VFS: Disk quotas dquot_6.5.1,Event85,1
86,<*> hash table entries: <*> <*> <*> <*> bytes),Event86,4
87,SELinux: Registering netfilter hooks,Event87,1
88,Initializing Cryptographic API,Event88,1
89,pci_hotplug: PCI0 Hot Plug PCI1 Core version: <*>,Event89,1
90,<*> <*> for <*> <*>,Event90,125
91,isapnp: No Plug & Play device found,Event91,1
92,Real Time Clock Driver <*>,Event92,1
93,Linux agpgart interface <*> (c) Dave Jones,Event93,1
