,template,template_id,members_num
0,"network_reachability_changed : network <*> not reachable, netbiosd <*> shutting down",Event0,1
1,com.apple.Addres(31211) deny network-outbound /private/var/run/mDNSResponder,Event1,1
2,Sandbox: com.apple.Addres(31229) deny(1) network-outbound /private/var/run/mDNSResponder,Event2,1
3,Sandbox: com.apple.Addres(31328) deny(1) network-outbound /private/var/run/mDNSResponder,Event3,2
4,Sandbox: com.apple.Addres(31346) deny(1) network-outbound /private/var/run/mDNSResponder,Event4,1
5,com.apple.Addres(31376) deny network-outbound /private/var/run/mDNSResponder,Event5,1
6,com.apple.Addres(31382) deny network-outbound /private/var/run/mDNSResponder,Event6,1
7,<*> : BTLE discovered device with hash <*> <*> <*>,Event7,1
8,Sandbox: com.apple.Addres(31432) deny(1) network-outbound /private/var/run/mDNSResponder,Event8,1
9,<*> : Finished generating hashes,Event9,1
10,[ 0701/114930:WARNING:dns_config_service_posix.cc(306)] Failed to read DnsConfig.,Event10,1
11,com.apple.Addres(31588) deny network-outbound /private/var/run/mDNSResponder,Event11,1
12,[ BluetoothHIDDeviceController] EventServiceDisconnectedCallback,Event12,1
13,PMStats: Hibernate read took <*> ms,Event13,1
14,"VDCAssistant: Found a camera <*> , but was not able to start it up <*> -- (os/kern) successful)",Event14,1
15,handle_will_sleep_auth_and_shield_windows: Reordering authw <*> (lock state: <*>,Event15,1
16,"<*> <*> GoogleSoftwareUpdateAgent[ <*> [ lvl=2] -[ KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <*> ticketStore=<KSPersistentTicketStore:0x100253770 store=<KSKeyedPersistentStore:0x100254d10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x100254d80 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO <*> >> processor=<KSActionProcessor:0x100259e70 delegate=<KSUpdateEngine:0x100259c60> isProcessing=NO actionsCompleted=0 progress=0.00 errors=00 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) <*> delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x1002594d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=01 <*>",Event16,1
17,WARNING: Type1 font data isn't in the0 correct format required by the1 Adobe Type <*> Font Format specification.,Event17,1
18,<*> IOBluetoothFamily] <*> staticBluetoothTransportShowsUp] <*> Received Bluetooth Controller register service notification <*> <*>,Event18,1
19,"<*> <*> GoogleSoftwareUpdateAgent[ <*> [ lvl=2] -[ KSAgentApp updateProductWithProductID:usingEngine:] Checking for0 updates for1 ""com.google.Keystone"" using engine <*> ticketStore=<KSPersistentTicketStore:0x100332a60 store=<KSKeyedPersistentStore:0x100315fa0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" lockFile=<KSLockFile:0x1003176d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO <*> >> processor=<KSActionProcessor:0x1003143e0 delegate=<KSUpdateEngine:0x100313e70> isProcessing=NO actionsCompleted=0 progress=0.00 errors=00 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) <*> delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x100311a10 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=01 <*>",Event19,1
20,mDNS_RegisterInterface: Frequent transitions for interface awdl0 <*>,Event20,1
21,<*> <*> GoogleSoftwareUpdateAgent[ <*> [ lvl=2] -[ KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/ksfetch' with process id: <*>,Event21,1
22,host connection0 <NSXPCConnection: <*> connection1 from pid <*> invalidated,Event22,1
23,Error in CoreDragRemoveReceiveHandler: <*>,Event23,1
24,com.apple.Addres(32626) deny network-outbound /private/var/run/mDNSResponder,Event24,1
25,CCXPCService::setStreamEventHandler Registered for notification callback.,Event25,2
26,Sandbox: com.apple.Addres(32885) deny(1) network-outbound /private/var/run/mDNSResponder,Event26,1
27,com.apple.Addres(32992) deny network-outbound /private/var/run/mDNSResponder,Event27,1
28,<*> HID] <*> MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.,Event28,1
29,<*> : BTLE scanning stopped,Event29,2
30,com.apple.Addres(33047) deny network-outbound /private/var/run/mDNSResponder,Event30,1
31,com.apple.Addres(33056) deny network-outbound /private/var/run/mDNSResponder,Event31,1
32,Sandbox: com.apple.Addres(33119) deny(1) network-outbound /private/var/run/mDNSResponder,Event32,1
33,com.apple.Addres(33139) deny network-outbound /private/var/run/mDNSResponder,Event33,2
34,<*> : Discoverable mode changed to Off,Event34,2
35,enabling <*> for plug-in com.apple.ncplugin.weather(1.0) <*> /System/Library/CoreServices/Weather.app/Contents/PlugIns/com.apple.ncplugin.weather.appex,Event35,1
36,"<*> <*> GoogleSoftwareUpdateAgent[ <*> [ lvl=2] -[ KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <KSUpdateEngine:0x10062de70 ticketStore=<KSPersistentTicketStore:0x1005206e0 store=<KSKeyedPersistentStore:0x1005282c0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore"" <*> path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/TicketStore/Keystone.ticketstore.lock"" locked=NO <*> >> processor=<KSActionProcessor:0x10062e060 delegate=<KSUpdateEngine:0x10062de70> isProcessing=NO actionsCompleted=0 progress=0.00 errors=00 currentActionErrors=0 events=0 currentActionEvents=0 actionQueue=( ) <*> delegate=(null) serverInfoStore=<KSServerPrivateInfoStore:0x10062d2d0 path=""/Users/xpc/Library/Google/GoogleSoftwareUpdate/Servers""> errors=01 <*>",Event36,1
37,<*> <*> GoogleSoftwareUpdateAgent[ <*> [ lvl=2] -[ KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,Event37,1
38,[ <*> <<<< IQ-CA >>>> piqca_setUsePreQueue: <*> rejecting report of layer being serviced - IQ has not yet begun to update,Event38,4
39,[ <*> itemasync_CopyProperty signalled <*> (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/Player/FigPlayer_Async.c line <*>,Event39,4
40,[ <*> itemasync_SetProperty signalled <*> (kFigBaseObjectError_Invalidated) (invalidated) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/Player/FigPlayer_Async.c line <*>,Event40,5
41,wake time set <*> s,Event41,3
42,Internal name did not resolve to internal address!,Event42,1
43,Service exited with abnormal code: <*>,Event43,1
44,Central manager is not powered on,Event44,1
45,com.apple.Addres(33476) deny network-outbound /private/var/run/mDNSResponder,Event45,1
46,<IMMacNotificationCenterManager: <*> DND Enabled: YES,Event46,1
47,Sandbox: com.apple.Addres(33493) deny(1) network-outbound /private/var/run/mDNSResponder,Event47,1
48,Sandbox: com.apple.Addres(33508) deny(1) network-outbound /private/var/run/mDNSResponder,Event48,1
49,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*> sec.",Event49,1
50,com.apple.Addres(33523) deny network-outbound /private/var/run/mDNSResponder,Event50,1
51,network changed: <*> <*> DNS Proxy SMB,Event51,1
52,Sandbox: com.apple.Addres(33540) deny(1) network-outbound /private/var/run/mDNSResponder,Event52,1
53,"CCLogTap::profileRemoved, Owner: com.apple.iokit.IO80211Family, Name: OneStats",Event53,1
54,Wake reason: ?,Event54,2
55,com.apple.Addres(33562) deny network-outbound /private/var/run/mDNSResponder,Event55,1
56,"CCFile::copyFile fileName is [ <*> <*> <*> -AirPortBrcm4360_Logs-047.txt,0 source path:/var/log/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/DriverLogs//[ <*> <*> <*> -AirPortBrcm4360_Logs-047.txt,1 dest path:/Library/Logs/CrashReporter/CoreCapture/com.apple.driver.AirPort.Brcm4360.0/[ <*> <*> <*> =AuthFail:sts:5_rsn:0/DriverLogs//[ <*> <*> <*> -AirPortBrcm4360_Logs-047.txt",Event56,1
57,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [ <*> Network is unreachable,Event57,1
58,<*> NETClientConnection evaluateCrazyIvan46] _block_invoke <*> - Hit by torpedo! NeteaseMusic.17988 <*> <*>,Event58,1
59,"[ CardDAVPlugin-ERROR] -getPrincipalInfo:[ _controller supportsRequestCompressionAtURL:https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/] Error Domain=NSURLErrorDomain <*> ""The0 request0 timed0 out.""0 UserInfo={NSUnderlyingError=0x7f9af3646900 {Error Domain=kCFErrorDomainCFNetwork <*> ""The1 request1 timed1 out.""1 UserInfo={NSErrorFailingURLStringKey=https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/, NSErrorFailingURLKey=https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/,0 _kCFStreamErrorCodeKey=-2102,0 _kCFStreamErrorDomainKey=4,0 NSLocalizedDescription=The0 request2 timed2 out.}}, NSErrorFailingURLStringKey=https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/, NSErrorFailingURLKey=https://13957525385%40163.com@p28-contacts.icloud.com/874161398/principal/,1 _kCFStreamErrorDomainKey=4,1 _kCFStreamErrorCodeKey=-2102,1 NSLocalizedDescription=The1 request3 timed3 out.}",Event59,1
60,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,Event60,2
61,****0 <*> IOBluetoothFamily] <*> ProcessBluetoothTransportShowsUpActionWL] <*> Connected to the transport successfully <*> <*> <*> <*> <*> <*> ****1,Event61,1
62,hciControllerOnline; HID devices? <*>,Event62,1
63,mDNS_DeregisterInterface: Frequent transitions for interface <*> <*>,Event63,5
64,"ARPT: <*> IOPMPowerSource Information: onSleep, SleepType: Standby, 'ExternalConnected': No, 'TimeRemaining': <*> ",Event64,1
65,AppleActuatorHIDEventDriver: message service is terminated,Event65,1
66,<*> <*> <<<< CRABS >>>> crabsFlumeHostUnavailable: <*> <*> Byte flume reports host unavailable.,Event66,2
67,CCFile::captureLog Received Capture notice id: <*> reason = DeauthInd:sts:0_rsn:7,Event67,1
68,payload Data <*> <*>,Event68,1
69,<*> HID] <*> ATC] <*> Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,Event69,2
70,hibernate_teardown: wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages <*> cleaned_pages <*> compressor_pages <*>,Event70,1
71,****0 <*> IOBluetoothFamily] <*> ProcessBluetoothTransportShowsUpActionWL] <*> calling IOBluetoothFamily's registerService() <*> <*> <*> <*> <*> <*> ****1,Event71,2
72,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,Event72,1
73,(ImportBailout.Error:1331) Asked to exit for Diskarb,Event73,1
74,<*> <*> GoogleSoftwareUpdateAgent[ <*> [ lvl=2] -[ KSUpdateCheckAction0 performAction] KSUpdateCheckAction1 starting update check for ticket(s): {( <*> productID=com.google.Keystone <*> xc=<KSPathExistenceChecker:0x10053ac30 path=/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle> url=https://tools.google.com/service/update2 <*> <*> ticketVersion=1 <*> )} Using server: <*> engine=<KSUpdateEngine:0x1007249c0> <*>,Event74,1
75,Sandbox: com.apple.Addres(33959) deny(1) network-outbound /private/var/run/mDNSResponder,Event75,1
76,tcp_connection_tls_session_error_callback_imp <*> tcp_connection_tls_session_handle_read_error.790 error <*>,Event76,1
77,Checking iCDP status for DSID <*> (checkWithServer=0),Event77,1
78,ARPT:0 <*> ARPT:1 Wake0 Reason: Wake1 on TCP Timeout,Event78,2
79,Sandbox: com.apple.Addres(34268) deny(1) network-outbound /private/var/run/mDNSResponder,Event79,1
80,Sandbox: com.apple.Addres(34309) deny(1) network-outbound /private/var/run/mDNSResponder,Event80,1
81,Sandbox: com.apple.Addres(34326) deny(1) network-outbound /private/var/run/mDNSResponder,Event81,1
82,network changed: <*> <*> DNS- Proxy-,Event82,1
83,Sandbox: com.apple.Addres(34429) deny(1) network-outbound /private/var/run/mDNSResponder,Event83,1
84,network changed: DNS*,Event84,1
85,en0: <*> country code set to 'US'.,Event85,2
86,en0: Supported channels <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,Event86,2
87,Sandbox: <*> deny(1) mach-lookup com.apple.networking.captivenetworksupport,Event87,3
88,"<*> <*> GoogleSoftwareUpdateAgent[ <*> [ lvl=2] +[ KSCodeSigningVerification0 verifyBundle:applicationId:error:] KSCodeSigningVerification1 verifying code signing for '/Users/xpc/Library/Google/GoogleSoftwareUpdate/GoogleSoftwareUpdate.bundle/Contents/MacOS/GoogleSoftwareUpdateDaemon' with the requirement 'anchor apple generic and0 certificate0 <*> <*> exists0 and1 certificate1 leaf[0 <*> exists1 and2 certificate2 leaf[1 subject.OU] =""EQHXZ8M8AV"" and3 (identifier=""com.google.Keystone"")'",Event88,1
89,<*> <*> ksfetch[ <*> [ lvl=2] main() ksfetch done fetching.,Event89,1
90,network changed: <*> DNS+ Proxy+ SMB,Event90,1
91,Sandbox: com.apple.Addres(34685) deny(1) network-outbound /private/var/run/mDNSResponder,Event91,1
92,CCFile::captureLog Received Capture notice id: <*> reason = AssocFail:sts:5_rsn:0,Event92,1
93,Sandbox: com.apple.Addres(34738) deny(1) network-outbound /private/var/run/mDNSResponder,Event93,1
94,Sandbox: com.apple.Addres(34830) deny(1) network-outbound /private/var/run/mDNSResponder,Event94,1
95,com.apple.Addres(34830) deny network-outbound /private/var/run/mDNSResponder,Event95,1
96,extension com.apple.ncplugin.WorldClock -> (null),Event96,1
97,Session <*> created,Event97,1
98,Sandbox: com.apple.Addres(35110) deny(1) network-outbound /private/var/run/mDNSResponder,Event98,2
99,kern_open_file_for_direct_io took <*> ms,Event99,1
100,<*> : Starting AirDrop server for user <*> on wake,Event100,2
101,Sandbox: com.apple.Addres(35150) deny(1) network-outbound /private/var/run/mDNSResponder,Event101,1
102,"Opened file /var/log/SleepWakeStacks.bin, size <*> extents <*> maxio <*> ssd <*>",Event102,2
103,Sandbox: com.apple.Addres(35229) deny(1) network-outbound /private/var/run/mDNSResponder,Event103,1
104,Sandbox: com.apple.Addres(35250) deny(1) network-outbound /private/var/run/mDNSResponder,Event104,1
105,"ARPT: <*> IOPMPowerSource Information: <*> SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*> ",Event105,3
106,Sandbox: com.apple.Addres(35286) deny(1) network-outbound /private/var/run/mDNSResponder,Event106,1
107,PM response took <*> ms <*> WeChat),Event107,1
108,Cocoa scripting error for <*> four0 character codes must be four1 characters long.,Event108,71
109,.sdef warning for argument '' of command 'can continue previous list' in suite 'Microsoft Word Suite': <*> is not a valid type name.,Event109,1
110,Invalidating watch set.,Event110,1
111,objc[ <*> : Class <*> <*> implemented in both /Library/QuickLook/iWork.qlgenerator/Contents/MacOS/iWork and /System/Library/PrivateFrameworks/OfficeImport.framework/Versions/A/OfficeImport. One of the two will be used. Which one <*> undefined.,Event111,2
112,<*> : Started generating hashes,Event112,1
113,<*> : BTLE scanning started,Event113,2
114,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> sec.0 to complete, <*> reads >= <*> sec.1",Event114,2
115,AirPort: Link Up on <*>,Event115,4
116,Unrecognized attribute value: t:AbchPersonItemType,Event116,8
117,-_continuousScroll is deprecated for NSScrollWheel. Please use -hasPreciseScrollingDeltas.,Event117,1
118,-deviceDeltaY is deprecated for NSScrollWheel. Please use -scrollingDeltaY.,Event118,1
119,[ <*> (Fig) signalled <*>,Event119,1
120,<*> <*> <<<< CRABS >>>> crabsWaitForLoad: <*> <*> Wait time out - <*> (msRequestTimeout <*>,Event120,1
121,Configuration Notice: ASL0 Module <*> claims selected messages. Those messages may not appear <*> standard system log files or <*> the ASL1 database.,Event121,2
122,"PBRequester failed with Error0 Error1 Domain=NSURLErrorDomain <*> ""The0 request0 timed0 out.""0 <*> {Error Domain=kCFErrorDomainCFNetwork <*> ""The1 request1 timed1 out.""1 <*> <*> _kCFStreamErrorCodeKey=-2102,0 _kCFStreamErrorDomainKey=4,0 NSLocalizedDescription=The0 request2 timed2 out.}}, <*> <*> _kCFStreamErrorDomainKey=4,1 _kCFStreamErrorCodeKey=-2102,1 NSLocalizedDescription=The1 request3 timed3 out.}",Event122,2
123,Failed to stop a scan - central is not powered on: <*>,Event123,1
124,device_generate_desktop_screenshot: authw <*> shield <*>,Event124,3
125,com.apple.Addres(35762) deny network-outbound /private/var/run/mDNSResponder,Event125,1
126,Sandbox: com.apple.Addres(35773) deny(1) network-outbound /private/var/run/mDNSResponder,Event126,1
127,Wake reason: EC.SleepTimer (SleepTimer),Event127,1
128,"hibernate_machine_init pagesDone <*> sum2 <*> time:0 <*> ms, <*> <*> Mb/s,0 comp bytes:0 <*> time:1 <*> <*> <*> Mb/s,1 crypt bytes:1 <*> time:2 <*> <*> <*> Mb/s",Event128,2
129,vm_compressor_fastwake_warmup <*> <*> <*> <*> starting,Event129,1
130,BuildActDeviceEntry exit,Event130,2
