,template,template_id,members_num
0,error: Received disconnect from <*> <*> com.jcraft.jsch.JSchException: Auth fail [preauth],Event0,2
1,Invalid user default from <*>,Event1,1
2,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],Event2,2
3,PAM <*> more authentication failures; logname= uid= <*> euid= <*> tty= ssh ruser= rhost= <*> user= root,Event3,2
4,Invalid user operator from <*>,Event4,1
5,input_userauth_request: invalid user operator [preauth],Event5,1
6,PAM <*> more authentication failure; logname= uid= <*> euid= <*> tty= ssh ruser= rhost= <*>,Event6,2
7,Invalid user monitor from <*>,Event7,1
8,input_userauth_request: invalid user monitor [preauth],Event8,1
9,Invalid user pi from <*>,Event9,1
10,input_userauth_request: invalid user pi [preauth],Event10,1
11,Invalid user PlcmSpIp from <*>,Event11,1
12,input_userauth_request: invalid user PlcmSpIp [preauth],Event12,1
13,Invalid user Management from <*>,Event13,1
14,input_userauth_request: invalid user Management [preauth],Event14,1
15,Invalid user ftpuser from <*>,Event15,2
16,input_userauth_request: invalid user ftpuser [preauth],Event16,2
17,Invalid user api from <*>,Event17,1
18,input_userauth_request: invalid user api [preauth],Event18,1
19,Invalid user eoor from <*>,Event19,1
20,input_userauth_request: invalid user eoor [preauth],Event20,1
21,Invalid user butter from <*>,Event21,1
22,input_userauth_request: invalid user butter [preauth],Event22,1
23,Invalid user redhat from <*>,Event23,1
24,input_userauth_request: invalid user redhat [preauth],Event24,1
25,Invalid user postgres from <*>,Event25,1
26,input_userauth_request: invalid user postgres [preauth],Event26,1
27,Invalid user nagios from <*>,Event27,1
28,input_userauth_request: invalid user nagios [preauth],Event28,1
29,Invalid user www from <*>,Event29,1
30,input_userauth_request: invalid user www [preauth],Event30,1
31,Invalid user abc from <*>,Event31,1
32,input_userauth_request: invalid user abc [preauth],Event32,1
33,Invalid user ted from <*>,Event33,1
34,input_userauth_request: invalid user ted [preauth],Event34,1
35,Invalid user vnc from <*>,Event35,1
36,input_userauth_request: invalid user vnc [preauth],Event36,1
37,Invalid user ghost from <*>,Event37,1
38,input_userauth_request: invalid user ghost [preauth],Event38,1
39,Invalid user deploy from <*>,Event39,2
40,input_userauth_request: invalid user deploy [preauth],Event40,2
41,Received disconnect from <*> <*> Closed due to user request. [preauth],Event41,7
42,Invalid user oralce from <*>,Event42,1
43,input_userauth_request: invalid user oralce [preauth],Event43,1
44,Invalid user nagios1 from <*>,Event44,1
45,input_userauth_request: invalid user nagios1 [preauth],Event45,1
46,Invalid user postgres1 from <*>,Event46,1
47,input_userauth_request: invalid user postgres1 [preauth],Event47,1
48,Invalid user test1 from <*>,Event48,1
49,input_userauth_request: invalid user test1 [preauth],Event49,1
50,Invalid user test2 from <*>,Event50,1
51,input_userauth_request: invalid user test2 [preauth],Event51,1
52,Invalid user bssh from <*>,Event52,1
53,input_userauth_request: invalid user bssh [preauth],Event53,1
54,Invalid user magnos from <*>,Event54,2
55,input_userauth_request: invalid user magnos [preauth],Event55,2
56,Invalid user ingrid from <*>,Event56,1
57,input_userauth_request: invalid user ingrid [preauth],Event57,1
58,Invalid user jay from <*>,Event58,1
59,input_userauth_request: invalid user jay [preauth],Event59,1
60,reverse mapping checking getaddrinfo for <*> <*> failed - POSSIBLE BREAK-IN ATTEMPT!,Event60,85
61,Invalid user cyrus from <*>,Event61,1
62,input_userauth_request: invalid user cyrus [preauth],Event62,1
63,Invalid user FILTER from <*>,Event63,1
64,input_userauth_request: invalid user FILTER [preauth],Event64,1
