,template,template_id,members_num
0,(root) CMD (run-parts /etc/cron.hourly),Event0,14
1,START: tftp pid= <*> from= <*>,Event1,1
2,DHCPDISCOVER from <*> <*> <*> <*> ba: <*> via eth1,Event2,5
3,<*> on <*> to <*> <*> <*> <*> ba: <*> via eth1,Event3,8
4,DHCPREQUEST for <*> <*> from <*> <*> <*> <*> ba: <*> via eth1,Event4,3
5,DHCPDISCOVER from <*> <*> <*> <*> ba: <*> via eth1: network A_net: no free leases,Event5,15
6,DHCPREQUEST for <*> <*> from <*> <*> <*> <*> ba: <*> via eth1: unknown lease <*>,Event6,9
7,time reset <*> s,Event7,1
8,Received SNMP packet(s) from <*>,Event8,1
9,kernel time sync <*> <*>,Event9,2
10,(root) CMD (/projects/tbird/temps/get_temps <*>,Event10,2
11,(root) CMD (/projects/tbird/temps/get_temps c),Event11,1
12,(root) CMD (/projects/tbird/temps/get_temps d),Event12,1
13,session opened for user root by (uid= <*>,Event13,19
14,(root) CMD (/projects/tbird/temps/get_temps e),Event14,1
15,My unqualified host name <*> unknown; sleeping for retry,Event15,5
16,CentOS-4 (Kernel Module GPG key),Event16,1
17,(supports <*> <*> <*>,Event17,1
18,HPET id: 0xffffffff base: <*>,Event18,1
19,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> dfl dfl),Event19,1
20,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> high level),Event20,1
21,IOAPIC <*> <*> gsi_base[0]),Event21,1
22,IOAPIC <*> <*> gsi_base[32]),Event22,1
23,IOAPIC (id[0x0a] <*> gsi_base[64]),Event23,1
24,<*> used by override.,Event24,3
25,Interpreter enabled,Event25,1
26,LAPIC <*> <*> enabled),Event26,4
27,LAPIC_NMI <*> high edge lint[0x1]),Event27,4
28,Local APIC address <*>,Event28,1
29,<*> <*> DELL PE BKC <*> MSFT <*> @ <*>,Event29,7
30,PCI Interrupt Link [LNKB] (IRQs <*> <*> <*> <*> <*> <*> <*> <*>,Event30,1
31,PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*>,Event31,2
32,PCI Interrupt Link <*> (IRQs <*> <*> <*> <*> <*> <*> <*> <*> <*> disabled.,Event32,5
33,PCI Interrupt Routing Table <*>,Event33,10
34,PCI Root Bridge [PCI0] <*> <*>,Event34,1
35,"PCI interrupt <*> <*> <*> <*> GSI <*> (level, low) <*> IRQ <*>",Event35,11
36,Power Button (FF) [PWRF],Event36,1
37,Processor <*> (supports <*>,Event37,4
38,RSDP <*> DELL ) @ <*>,Event38,1
39,Subsystem revision <*>,Event39,1
40,Intel(R) Xeon(TM) CPU <*> stepping <*>,Event40,1
41,<*> cache: <*>,Event41,5
42,Physical Processor ID: <*>,Event42,5
43,"Trace cache:0 <*> uops, <*> D cache:1 <*>",Event43,5
44,colour VGA+ <*>,Event44,1
45,mounted filesystem with ordered data mode.,Event45,3
46,"sys_ia32.c, v <*> <*> <*> <*> <*> ak Exp $",Event46,1
47,apic_id <*> version <*> address <*> GSI <*>,Event47,3
48,"routing cache hash table of <*> buckets, <*>",Event48,1
49,PCI0 Hot Plug PCI1 Core version: <*>,Event49,1
50,"root= LABEL= / initrd= /x86_64/initrd-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr-admin console=0 tty0 console=1 ttyS0, <*> fastboot BOOT_IMAGE= /x86_64/vmlinuz-2.6.9-5.0.5.EL-lustre-1.4.2-perfctr",Event50,1
51,Using software bounce buffering for IO (SWIOTLB),Event51,1
52,Probing PCI hardware (bus <*>,Event52,1
53,Transparent bridge - <*> <*> <*>,Event53,1
54,Using <*> for <*> routing,Event54,2
55,Using MMCONFIG at <*>,Event55,1
56,Using configuration type <*>,Event56,1
57,Compressed image found at block <*>,Event57,1
58,Disabled at runtime.,Event58,1
59,Initializing.,Event59,1
60,Starting in permissive mode,Event60,1
61,<*> netfilter hooks,Event61,2
62,Hash tables configured (established <*> bind <*>,Event62,1
63,Direct-Access ANSI SCSI revision: <*>,Event63,1
64,Processor ANSI SCSI revision: <*>,Event64,1
65,Disk quotas dquot_6.5.1,Event65,1
66,Mounted root (ext2 filesystem).,Event66,1
67,MegaRAID Model: LD <*> RAID1 <*> Rev: <*>,Event67,1
68,PE/PV Model: <*> SCSI BP Rev: <*>,Event68,1
69,initialized,Event69,1
70,initializing netlink socket (disabled),Event70,1
71,passed.,Event71,1
72,4.1.0-ioctl <*> initialised: <*>,Event72,1
73,allocating divert_blk for eth0,Event73,1
74,allocating divert_blk for eth1,Event74,1
75,<*> USB HID core driver,Event75,1
76,eth0: e1000_watchdog: NIC Link is Up <*> Mbps Full Duplex,Event76,1
77,<*> <*> Intel(R) <*> Network Connection,Event77,2
78,no floppy controllers found,Event78,1
79,RNG not detected,Event79,1
80,Wait for ready failed before probe !,Event80,6
81,Assuming <*> system bus speed for PIO modes; override with idebus= xx,Event81,1
82,Unknown cmd fd(5) <*> arg(ffffda44) on /dev/sda,Event82,1
83,(C) <*> Netfilter core team,Event83,4
84,Installing public key data,Event84,1
85,... autorun DONE.,Event85,2
86,Autodetecting RAID arrays.,Event86,2
87,autorun ...,Event87,2
88,md driver <*> MAX_MD_DEVS= <*> MD_SB_DISKS= <*>,Event88,1
89,<*> (Release Date: Fri Dec <*> <*> <*> <*> EST <*>,Event89,1
90,<*> (Release Date: Mon Sep <*> <*> <*> <*> EDT <*>,Event90,1
91,fw version:0 <*> bios version:1 <*>,Event91,1
92,probe new device <*> <*> <*> <*> bus <*> slot <*> func <*>,Event92,1
93,PS/2 mouse device common for all mice,Event93,1
94,<*> <*>,Event94,1
95,Starting ts_fixup: succeeded,Event95,1
96,Version <*> Starting,Event96,1
97,LSI Logic MegaRAID driver,Event97,1
98,scanning scsi channel <*> [Phy <*> for non-raid devices,Event98,1
99,scanning scsi channel <*> [virtual] for logical drives,Event99,1
100,asking for cache data failed,Event100,1
101,assuming drive cache: write through,Event101,1
102,sda1 sda2 sda3 sda4,Event102,1
103,Registering secondary module capability,Event103,1
104,<*> <*> port at <*> <*> irq <*>,Event104,2
105,syslog-ng version <*> starting,Event105,1
106,Detected <*> MHz processor.,Event106,1
107,Using <*> MHz HPET timer.,Event107,1
108,Using HPET based timekeeping.,Event108,1
109,Creating Topspin /dev entries: ,Event109,1
110,registered new driver <*>,Event110,4
111,probe of vesafb0 failed with error <*>,Event111,1
112,Mounting NFS filesystems: succeeded,Event112,1
113,Mounting other filesystems: failed,Event113,1
114,Warning: we failed to resolve data source name dadmin2 dadmin3 dadmin4,Event114,2
115,connection from <*>,Event115,2
116,RRD_update (/var/lib/ganglia/rrds/unspecified/badmin3/disk_total.rrd): illegal attempt to update0 using time0 <*> when last update1 time1 is <*> (minimum one second step),Event116,1
117,Warning: we failed to resolve data source name <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*> <*>,Event117,33
118,Now running on <*> privileges.,Event118,2
119,User <*> coming from <*> authenticated.,Event119,2
120,Registered protocol family <*>,Event120,5
121,not allocating divert_blk for non-ethernet device <*>,Event121,2
122,Server listening on <*> <*> port <*>,Event122,1
123,error: Bind to port <*> on <*> failed: Address already in use.,Event123,1
124,Cannot open file0 /dev/logsurfer for writing (No such file1 or directory),Event124,1
125,Changing permissions on special file /dev/logsurfer,Event125,1
126,succeeded,Event126,2
127,<*> startup succeeded,Event127,5
128,Reading included configuration file: <*> [file= <*> [line= <*>,Event128,17
129,Started working: <*> available service,Event129,1
130,removing chargen,Event130,2
131,removing daytime,Event131,2
132,removing echo,Event132,2
133,removing eklogin,Event133,1
134,removing ftp,Event134,1
135,removing klogin,Event135,1
136,removing kshell,Event136,1
137,removing ntalk,Event137,1
138,removing printer,Event138,1
139,removing rsync,Event139,1
140,removing telnet,Event140,1
141,removing time,Event141,2
142,xinetd Version <*> started with libwrap loadavg options compiled in.,Event142,1
