,template,template_id,members_num
0,Unexpected Exception: ,Event0,1
1,Server environment: user.dir= /,Event1,1
2,My election bind port: <*> <*>,Event2,1
3,"Have smaller server identifier, so dropping the connection: <*> <*>",Event3,1
4,New election. My id = <*> proposed zxid= <*>,Event4,1
5,Server environment: host.name= mesos-master-1,Event5,1
6,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LEADING (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING (my state)",Event6,1
7,FOLLOWING <*> LEADER ELECTION TOOK <*> <*>,Event7,2
8,autopurge.snapRetainCount set to <*>,Event8,1
9,Server environment: zookeeper.version= <*> built on <*> <*> <*> GMT,Event9,1
10,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING (my state)",Event10,1
11,tickTime set to <*>,Event11,1
12,Notification time out: <*>,Event12,37
13,Server environment: java.vendor= Oracle Corporation,Event13,2
14,******* GOODBYE <*> <*> ********,Event14,19
15,Unexpected exception causing shutdown while sock still open,Event15,12
16,Got user-level KeeperException when processing sessionid: <*> type: create cxid: <*> zxid: <*> txntype: <*> reqpath: n/a Error Path: /home/curi/.zookeeper0 Error: KeeperErrorCode = NodeExists for /home/curi/.zookeeper1,Event16,1
17,Starting quorum peer,Event17,1
18,Snapshotting: <*> to /var/lib/zookeeper/version-2/snapshot.300000dcd,Event18,1
19,Snapshotting: <*> to /var/lib/zookeeper/version-2/snapshot.50000062e,Event19,1
20,Follower sid: <*> <*> info <*> org.apache.zookeeper.server.quorum.QuorumPeer$QuorumServer@33557fe4,Event20,1
21,Revalidating client: <*>,Event21,3
22,maxSessionTimeout set to <*>,Event22,1
23,FOLLOWING,Event23,2
24,Client attempting to renew session <*> at <*> <*>,Event24,3
25,Server environment: java.class.path= /etc/zookeeper/conf: /usr/share/java/jline.jar: /usr/share/java/log4j-1.2.jar: /usr/share/java/xercesImpl.jar: /usr/share/java/xmlParserAPIs.jar: /usr/share/java/netty.jar: /usr/share/java/slf4j-api.jar: /usr/share/java/slf4j-log4j12.jar: /usr/share/java/zookeeper.jar,Event25,1
26,Have quorum of supporters; starting up and setting last processed zxid: <*>,Event26,1
27,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",Event27,1
28,shutdown of request processor complete,Event28,1
29,Exception causing close of session <*> due to java.io.IOException: ZooKeeperServer not running,Event29,3
30,First is <*>,Event30,1
31,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING (n.state), <*> (n.sid), <*> (n.peerEPoch), LEADING (my state)",Event31,3
32,autopurge.purgeInterval set to <*>,Event32,3
33,Reading snapshot /var/lib/zookeeper/version-2/snapshot.b00000084,Event33,1
34,Sending DIFF,Event34,1
35,Cannot open channel to <*> at election address <*> <*>,Event35,86
36,Send worker leaving thread,Event36,262
37,Interrupted while waiting for message on queue,Event37,314
38,Interrupting SendWorker,Event38,266
39,Closed socket connection for0 client <*> <*> (no session established for1 client),Event39,4
40,Connection broken for <*> <*> my <*> <*> <*> error <*> ,Event40,291
41,LOOKING,Event41,4
42,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), FOLLOWING0 (n.state), <*> (n.sid), <*> (n.peerEPoch), FOLLOWING1 (my state)",Event42,1
43,Server environment: os.name= Linux,Event43,2
44,Server environment: user.name= zookeeper,Event44,2
45,caught end of stream exception,Event45,37
46,Connection request from old client <*> <*> will be dropped if server is in r-o mode,Event46,39
47,Received connection request <*> <*>,Event47,299
48,minSessionTimeout set to <*>,Event48,2
49,Server environment: java.home= /usr/lib/jvm/java-7-openjdk-amd64/jre,Event49,1
50,Getting a snapshot from leader,Event50,2
51,Accepted socket connection from <*> <*>,Event51,48
52,Established session <*> with negotiated timeout <*> for client <*> <*>,Event52,50
53,"Notification: <*> (n.leader), <*> (n.zxid), <*> (n.round), LOOKING0 (n.state), <*> (n.sid), <*> (n.peerEPoch), LOOKING1 (my state)",Event53,5
54,Client attempting to establish new session at <*> <*>,Event54,41
55,Closed socket connection for client <*> <*> which had sessionid <*>,Event55,44
56,Expiring session <*> timeout of <*> exceeded,Event56,40
57,Processed session termination for sessionid: <*>,Event57,47
